Spotify Rank,song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
92,Anywhere Contigo,Breakfast n Vegas,0.8521,0.8417,0.8545,0.0673,0.2721,0.0000,0.0996,0.8364,0.4292
93,No Gratis,Messiah,0.7872,0.5461,0.7252,0.2200,0.4267,0.0000,0.0718,0.9675,0.6074
94,Díganle - Tainy Remix,Leslie Grace,0.8511,0.7896,0.8444,0.1009,0.1024,0.0000,0.3057,0.6291,0.3797
95,Sangria Wine,Pharrell Williams,0.8419,0.7134,0.8704,0.0999,0.1817,0.0000,0.0475,0.7012,0.5452
96,All Day,DaniLeigh,0.8359,0.4809,0.7476,0.0421,0.0800,0.0000,0.2339,0.7734,0.4995
97,Just As I Am,Spiff TV,0.6910,0.7515,0.8167,0.0717,0.2359,0.0000,0.1016,0.7195,0.5362
98,Nice & Slow,Nina Sky,0.8095,0.6162,0.8468,0.0441,0.0070,0.0024,0.2790,0.7083,0.5242
99,Scooby Doo Pa Pa (Remix),Dj Kass,0.9331,0.9659,0.9261,0.1892,0.1968,0.0002,0.3201,0.5152,0.4989
100,Don't Werk,Paula DeAnda,0.7123,0.6172,0.7443,0.0777,0.1084,0.0001,0.2667,0.4421,0.5083
101,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0.8024,0.8958,0.8836,0.0626,0.1657,0.0000,0.0402,0.8069,0.3919
102,Pa Mi (with Ozuna),Tory Lanez,0.6039,0.5571,0.7743,0.1424,0.0987,0.0000,0.0468,0.6717,0.5499
103,Lo Siento,SUPER JUNIOR,0.7558,0.7385,0.8698,0.2200,0.0708,0.0000,0.0329,0.6402,0.3913
104,Nuestra Cancion Pt. 2 (feat. Arcángel),Snow Tha Product,0.4995,0.8256,0.8602,0.0848,0.0079,0.0000,0.1211,0.6311,0.4121
105,La Hora Loca,Jackie Cruz,0.8470,0.7254,0.8258,0.0607,0.0431,0.0000,0.0996,0.7724,0.5201
106,Dinero - English Version,Trinidad Cardona,0.7102,0.7795,0.8453,0.0688,0.0044,0.0000,0.1129,0.4583,0.4951
107,Pum Pum (feat. Kap G & Play-N-Skillz),Messiah,0.8825,0.5631,0.7543,0.0845,0.1496,0.0000,0.0471,0.6301,0.3797
108,Hora Loca,DJ Africa,0.6586,0.8016,0.8267,0.0768,0.0509,0.0000,0.0550,0.7520,0.6857
109,Better With You,Michl,0.7943,0.4368,0.7657,0.0541,0.2661,0.0001,0.1180,0.4776,0.3714
110,NIGHTS LIKE THESE,Ne-Yo,0.5005,0.7294,0.8385,0.1711,0.1335,0.0000,0.1355,0.4278,0.3253
111,Alright,Anthony Ramos,0.5684,0.5801,0.8216,0.0440,0.0200,0.0000,0.0523,0.2988,0.3507
112,Insecure,Amara La Negra,0.4894,0.6853,0.8806,0.1849,0.3705,0.0000,0.0726,0.5549,0.7655
113,Si Una Vez - (If I Once)[Spanglish Version],Play-N-Skillz,0.6282,0.8236,0.9004,0.0603,0.0765,0.0000,0.1037,0.4106,0.7260
114,Finesse (Remix) [feat. Cardi B],Bruno Mars,0.7133,0.8597,0.8399,0.1058,0.0186,0.0000,0.0109,0.9411,0.4338
115,Belong To U,Fancy Cars,0.6413,0.7655,0.8187,0.0504,0.5884,0.0001,0.0879,0.4970,0.4165
116,Sunny Daze,Salaam Remi,0.8642,0.7144,0.8076,0.0815,0.5713,0.0101,0.0623,0.8496,0.3812
117,"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",N.O.R.E.,0.8105,0.8377,0.8495,0.1052,0.0655,0.0000,0.0605,0.8262,0.4334
118,Island,Lil Eddie,0.7528,0.7936,0.8360,0.0580,0.1185,0.0001,0.2216,0.4411,0.4536
119,Crazy In Love,Beyoncé,0.6545,0.7705,0.7973,0.2402,0.0025,0.0000,0.0621,0.6921,0.4092
120,Rock Your Body,Justin Timberlake,0.9027,0.7144,0.8107,0.1488,0.2028,0.0002,0.0423,0.8313,0.4167
121,Beautiful Girls,Sean Kingston,0.7548,0.6663,0.8145,0.0601,0.1596,0.0000,0.2985,0.7195,0.5365
122,Toxic,Britney Spears,0.7842,0.8477,0.8635,0.1286,0.0280,0.0184,0.2360,0.9380,0.5902
123,Michael Jackson x Mark Ronson: Diamonds are Invincible,Michael Jackson,0.6809,0.8327,0.9015,0.3634,0.3434,0.0004,0.2370,0.5579,0.4841
124,Yeah!,Usher,0.9058,0.7916,0.8443,0.1190,0.0184,0.0000,0.0286,0.5925,0.4334
125,Live Your Life (feat. Rihanna),T.I.,0.3799,0.8627,0.8774,0.2710,0.0713,0.0000,0.2052,0.4858,0.6596
126,Hips Don't Lie,Shakira,0.7882,0.8246,0.8147,0.0757,0.2851,0.0000,0.4042,0.7683,0.4128
127,"Hey, Soul Sister",Train,0.6839,0.8858,0.8509,0.0463,0.2179,0.0000,0.0770,0.7805,0.4004
128,Pumped Up Kicks,Foster The People,0.7427,0.7104,0.8158,0.0310,0.1456,0.1153,0.0869,0.9807,0.5281
129,Love Never Felt so Good,Michael Jackson,0.7852,0.7194,0.8068,0.0462,0.1325,0.0000,0.0567,0.7236,0.4850
130,Hall of Fame,The Script,0.4265,0.8737,0.8531,0.0600,0.0656,0.0000,0.1150,0.6402,0.3500
131,All of Me,John Legend,0.4276,0.2635,0.7857,0.0342,0.9257,0.0000,0.1242,0.3364,0.4949
132,Drops of Jupiter,Train,0.4742,0.6403,0.8155,0.0292,0.1546,0.0000,0.1468,0.5071,0.3272
133,We Can't Stop,Miley Cyrus,0.6211,0.6222,0.8171,0.0355,0.0089,0.0000,0.3683,0.4919,0.3302
134,Fighter,Christina Aguilera,0.4407,0.9208,0.9271,0.2136,0.2359,0.0004,0.5549,0.4573,0.7796
135,Since U Been Gone,Kelly Clarkson,0.6707,0.7415,0.8268,0.0355,0.0017,0.0304,0.1057,0.4106,0.5406
